_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
657670,32,SH-01658,63,Silversted Dr,Mccowan Rd,West,Kenhatch Blvd,North,T1302,23,,B,Existing,Enseicom,,Yes,Existing,0,323790.339,4851319.701,-79.26399240100001,43.801597493,"{u'type': u'Point', u'coordinates': (-79.2639923973, 43.8015974975)}"
657671,34,SH-03367,5810,Sheppard Ave E,Sheppard Ave E,North,Gateforth Dr,East,T9965,23,,D,Existing,Enseicom,,Yes,Existing,0,326518.791,4850682.72,-79.230109971,43.795788965,"{u'type': u'Point', u'coordinates': (-79.2301099749, 43.7957889642)}"
657672,69,SH-00626,5359,Dundas St W,Dundas St W,South,Poplar Ave,West,T2180,3,,B,Existing,Enseicom,,Yes,Existing,0,301560.57899999997,4832870.2930000005,-79.540147909,43.635766331000006,"{u'type': u'Point', u'coordinates': (-79.5401479114, 43.635766332)}"
657673,71,SH-03650,1111A,College St,College St,South,Dufferin St,West,T826,9,College West,B,Existing,Enseicom,,Yes,Existing,0,310226.568,4834724.737,-79.432726976,43.652446128,"{u'type': u'Point', u'coordinates': (-79.4327269729, 43.652446126)}"
657674,127,SH-02664,245,Eglinton Ave E,Eglinton Ave E,South,Taunton Rd,West,T9113,15,Mount Pleasant Village,B,Temporarily Removed,Enseicom,,Yes,Temporarily Removed,0,313726.11,4840955.092,-79.38924018600001,43.708493632,"{u'type': u'Point', u'coordinates': (-79.3892401843, 43.7084936383)}"
657675,142,SH-01268,294,Yonge St,Dundas St W,South,Yonge St,West,T2197,13,Downtown Yonge,B,Existing,Enseicom,,Yes,Existing,0,314387.999,4835147.633,-79.381130394,43.65621075,"{u'type': u'Point', u'coordinates': (-79.3811303948, 43.6562107545)}"
657676,144,SH-03579,7,Field Sparroway,Finch Ave E,North,Leslie St,West,T2519,17,,B,Existing,Enseicom,,Yes,Existing,0,315326.713,4850029.828,-79.369201359,43.790156011,"{u'type': u'Point', u'coordinates': (-79.3692013588, 43.7901560131)}"
657677,145,SH-03148,66,Lunsfield Cres,Mccowan Rd,West,Sandhurst Crcl,North,T1316,23,,A,Existing,Enseicom,,Yes,Existing,0,323664.636,4851732.452,-79.265540058,43.805315897,"{u'type': u'Point', u'coordinates': (-79.2655400631, 43.8053159026)}"
657678,155,SH-01983,43,Eglinton Ave E,Eglinton Ave E,South,Holly St,West,T3538,12,,B,Temporarily Removed,Enseicom,,Yes,Existing,0,313089.74600000004,4840777.782,-79.397139241,43.706905005,"{u'type': u'Point', u'coordinates': (-79.397139236, 43.7069050043)}"
657679,175,SH-02766,450,Dundas St W,Dundas St W,North,Huron St,East,T2169,10,Chinatown,B,Temporarily Removed,Enseicom,,Yes,Temporarily Removed,0,313185.29,4834835.863,-79.396046096,43.653418939,"{u'type': u'Point', u'coordinates': (-79.3960460943, 43.6534189395)}"
