_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
677828,32,PS-00066,725,Spadina Ave,Bloor St W,South,Spadina Ave,East,06269,11,,Corral,Temporarily Removed,K2006269,0,312584.881,4836304.188999999,-79.403468288,43.666642358999994,"{u'type': u'Point', u'coordinates': (-79.4034682859, 43.6666423576)}"
677829,34,PS-00167,890,Danforth Ave,Danforth Ave,North,Dewhurst Blvd,East,06336,14,Danforth Mosaic,Corral,Existing,K2906336,0,317756.715,4837808.333000001,-79.339302158,43.680109447,"{u'type': u'Point', u'coordinates': (-79.3393021584, 43.6801094497)}"
677830,38,PS-00208,2672,Bloor St W,Old Mill Trl,East,Bloor St W,North,08371,3,,Corral,Existing,K0508371,0,305178.71,4834472.646000001,-79.495305315,43.650196656000006,"{u'type': u'Point', u'coordinates': (-79.4953053168, 43.6501966625)}"
677831,40,PS-00216,40,High Park Ave,High Park Ave,West,Bloor St W,North,08372,4,,Corral,Existing,K1308372,0,307566.348,4834932.728,-79.465704578,43.654332975,"{u'type': u'Point', u'coordinates': (-79.4657045794, 43.6543329774)}"
677832,41,PS-00218,685,Lansdowne Ave,Lansdowne Ave,East,Bloor St W,North,08373,9,,Corral,Existing,K1808373,0,309410.74,4835445.8780000005,-79.442834607,43.65894286899999,"{u'type': u'Point', u'coordinates': (-79.4428346093, 43.6589428718)}"
677833,44,PS-00617,1277,York Mills Rd,York Mills Rd,South,Fenside Dr,East,10415,16,,Corral,Existing,K3410415,0,318856.218,4846805.666,-79.325430458,43.761076336,"{u'type': u'Point', u'coordinates': (-79.3254304613, 43.7610763362)}"
677834,45,PS-00619,3003,Danforth Ave,Danforth Ave,South,Victoria Park Ave,West,10416A,19,Danforth Village,Corral,Existing,K3210416,0,321842.021,4839032.72,-79.288595066,43.691047993999995,"{u'type': u'Point', u'coordinates': (-79.288595061, 43.6910479967)}"
677835,46,PS-00620,3060,Danforth Ave,Victoria Park Ave,West,Danforth Ave,North,10417,19,Danforth Village,Corral,Existing,K3110417,0,321840.072,4839086.787,-79.288617532,43.69153471,"{u'type': u'Point', u'coordinates': (-79.2886175288, 43.6915347112)}"
677836,47,PS-00623,1400,Victoria Park Ave,Victoria Park Ave,West,Sunrise Ave,South,10419,19,,Corral,Existing,K3410419,0,320885.781,4842116.201,-79.30036499100001,43.71882441100001,"{u'type': u'Point', u'coordinates': (-79.3003649848, 43.7188244111)}"
677837,48,PS-00633,835,Birchmount Rd,Birchmount Rd,East,Eglinton Ave E,South,10521,20,,Corral,Existing,K3510521,0,322714.76,4843307.535,-79.277626661,43.72950592,"{u'type': u'Point', u'coordinates': (-79.2776266619, 43.7295059212)}"
