_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
2472627,19,SH-03601,63,Hunting Ridge,Kipling Ave,East,Hunting Ridge,South,T4328,2,,A,Existing,Enseicom,,No,,0,300564.42,4837924.925,-79.55253349899999,43.681259811000004,"{u'type': u'Point', u'coordinates': (-79.5525335015, 43.6812598143)}"
2472628,21,SH-01121,7,Arleta Ave,Sheppard Ave W,North,Northover St,East,T6058,7,,C,Existing,Enseicom,,No,,0,304691.67,4844635.393,-79.50134496,43.741674577,"{u'type': u'Point', u'coordinates': (-79.5013449572, 43.7416745767)}"
2472629,28,SH-03122,4002,Sheppard Ave E,Sheppard Ave E,North,Kennedy Rd,East,T7197,22,,C,Existing,Enseicom,,No,,0,321859.735,4849304.978,-79.288049434,43.783509851999995,"{u'type': u'Point', u'coordinates': (-79.2880494321, 43.7835098518)}"
2472630,32,SH-01658,63,Silversted Dr,Mccowan Rd,West,Kenhatch Blvd,North,T1302,23,,B,Existing,Enseicom,,Yes,Existing,0,323790.339,4851319.701,-79.26399240100001,43.801597493,"{u'type': u'Point', u'coordinates': (-79.2639923973, 43.8015974975)}"
2472631,34,SH-03367,5810,Sheppard Ave E,Sheppard Ave E,North,Gateforth Dr,East,T9965,23,,D,Existing,Enseicom,,Yes,Existing,0,326518.791,4850682.72,-79.230109971,43.795788965,"{u'type': u'Point', u'coordinates': (-79.2301099749, 43.7957889642)}"
2472632,38,SH-02812,607,Eglinton Ave E,Eglinton Ave E,South,Bayview Ave,West,T2238,15,,A,Temporarily Removed,Enseicom,,No,,0,314678.005,4841222.965,-79.377423685,43.710892769,"{u'type': u'Point', u'coordinates': (-79.3774236876, 43.7108927739)}"
2472633,40,SH-03913,1095,Neilson Rd,Neilson Rd,East,Sewells Rd,South,T1399,25,,D,Existing,Enseicom,,No,,0,327464.015,4851866.223999999,-79.218314178,43.806413362,"{u'type': u'Point', u'coordinates': (-79.2183141765, 43.80641336)}"
2472634,45,SH-00624,47,Bathurst St,Bathurst St,East,Wellington St W,South,T217,10,,A,Temporarily Removed,Enseicom,,No,,0,312707.0,4833631.37,-79.401993158,43.642582106000006,"{u'type': u'Point', u'coordinates': (-79.4019931602, 43.6425821124)}"
2472635,54,SH-03135,2345,Finch Ave W,Weston Rd,East,Finch Ave W,South,T8723,7,Emery Village,A,Temporarily Removed,Enseicom,,No,,0,301406.751,4845764.778,-79.542135568,43.751832644,"{u'type': u'Point', u'coordinates': (-79.5421355711, 43.7518326485)}"
2472636,59,SH-01797,755,York Mills Rd,Leslie St,West,York Mills Rd,South,T9169,15,,A,Existing,Enseicom,,No,,0,316068.16,4845853.568,-79.36007627800001,43.752553981999995,"{u'type': u'Point', u'coordinates': (-79.3600762749, 43.7525539844)}"
2472637,64,SH-01079,2500,Sheppard Ave E,Victoria Park Ave,West,Sheppard Ave E,North,T7426,17,,C,Existing,Enseicom,,No,,0,319020.286,4848412.374,-79.323350293,43.775535399,"{u'type': u'Point', u'coordinates': (-79.3233502906, 43.7755353968)}"
2472638,67,SH-01713,155,Culford Rd,Lawrence Ave W,South,Culford Rd,East,T5356,5,,A,Existing,Enseicom,,No,,0,305821.61,4840706.7069999995,-79.487323792,43.706310818999995,"{u'type': u'Point', u'coordinates': (-79.4873237914, 43.7063108168)}"
2472639,69,SH-00626,5359,Dundas St W,Dundas St W,South,Poplar Ave,West,T2180,3,,B,Existing,Enseicom,,Yes,Existing,0,301560.57899999997,4832870.2930000005,-79.540147909,43.635766331000006,"{u'type': u'Point', u'coordinates': (-79.5401479114, 43.635766332)}"
2472640,70,SH-02437,3077,Weston Rd,Weston Rd,West,Mainshep Rd,North,T11717,7,Emery Village,C,Existing,Enseicom,,No,,0,301755.25800000003,4843539.74,-79.53779540000001,43.731806113999994,"{u'type': u'Point', u'coordinates': (-79.537795395, 43.7318061169)}"
