_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
912146,693,BE-00008,1104,Albion Rd,Islington Ave,West,Albion Rd,North,00079,1,Albion Islington Square,Standard,Existing,B0100079,0,299503.675,4844201.2,-79.565751544,43.737747404,"{u'type': u'Point', u'coordinates': (-79.5657515434, 43.7377474061)}"
912147,694,BE-00010,138,Rathburn Rd,Rathburn Rd,North,Lloyd Manor Rd,West,03292,2,,Standard,Existing,B0303292,0,300981.489,4835451.359,-79.547343135,43.658996696,"{u'type': u'Point', u'coordinates': (-79.5473431312, 43.6589966981)}"
912148,695,BE-00012,500,Rexdale Blvd,Queen's Plate Dr,South,Highway 27 N,West,04486,1,,Standard,Temporarily Removed,B0204486,0,296835.557,4842523.4860000005,-79.59885017,43.722622076,"{u'type': u'Point', u'coordinates': (-79.5988501736, 43.7226220766)}"
912149,696,BE-00013,4333,Bloor St W,Bloor St W,South,Mill Rd,West,03038,2,,Standard,Existing,B0303038,0,298721.983,4832433.998,-79.57532325300001,43.631821302,"{u'type': u'Point', u'coordinates': (-79.5753232517, 43.6318213067)}"
912150,697,BE-00021,2294,Islington Ave,Islington Ave,West,Resources Rd,South,01745,1,,Standard,Existing,B0201745,0,300617.003,4840877.659,-79.551904239,43.707838521999996,"{u'type': u'Point', u'coordinates': (-79.5519042384, 43.7078385207)}"
912151,698,BE-00023,1798,Eglinton Ave W,Eglinton Ave W,North,Dufferin St,East,07101,12,York-Eglinton,Standard,Temporarily Removed,B1507101,0,308897.697,4839564.177,-79.44916419,43.696015981,"{u'type': u'Point', u'coordinates': (-79.4491641874, 43.696015982)}"
912152,699,BE-00025,27,Edenvale Cres,Eglinton Ave W,South,Royal York Rd,West,04316,2,,Standard,Existing,B0404316,0,302620.729,4838014.873,-79.527029666,43.682078335,"{u'type': u'Point', u'coordinates': (-79.5270296614, 43.68207834)}"
912153,700,BE-00027,3197,Lake Shore Blvd W,Lake Shore Blvd W,South,Twentieth St,East,00722,3,,Standard,Temporarily Removed,B0600722,0,303291.281,4828639.972,-79.518686586,43.597692977,"{u'type': u'Point', u'coordinates': (-79.5186865837, 43.5976929819)}"
912154,701,BE-00033,830,Burnhamthorpe Rd,Burnhamthorpe Rd,North,Mill Rd,East,01750,2,,Standard,Existing,B0301750,0,298002.015,4833284.3319999995,-79.58425630800001,43.639469253,"{u'type': u'Point', u'coordinates': (-79.5842563088, 43.6394692547)}"
912155,702,BE-00035,35,Warrender Ave,Kipling Ave,East,Eglinton Ave W,South,05941,2,,Mini,Existing,B0405941,0,300722.147,4837446.743,-79.550573609,43.676956432,"{u'type': u'Point', u'coordinates': (-79.5505736137, 43.6769564311)}"
