_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
4308912,35,LR-07835,2190C,Bloor St W,Bloor St W,North,Kennedy Ave,East,03301,4,Bloor West Village,WR4,Existing,L1303301,0,306821.245,4834618.318,-79.47494306899999,43.651505259,"{u'type': u'Point', u'coordinates': (-79.4749430675, 43.6515052589)}"
4308913,36,LR-07838,6,Oakmount Rd,Bloor St W,North,Oakmount Rd,West,00975,4,,WR1,Temporarily Removed,L1300975,0,307820.144,4834922.723999999,-79.46255823899999,43.65424194,"{u'type': u'Point', u'coordinates': (-79.4625582348, 43.6542419406)}"
4308914,37,LR-07839,1852,Bloor St W,Bloor St W,North,Pacific Ave,East,00967,4,,WR1,Temporarily Removed,L1300967,0,307751.964,4834900.368,-79.463403611,43.654040976000005,"{u'type': u'Point', u'coordinates': (-79.4634036078, 43.65404098)}"
4308915,38,LR-07846,3100,Dundas St W,Dundas St W,North,Clendenan Ave,East,04919,4,,WR2,Existing,L1304919,0,306980.667,4836181.563999999,-79.472960433,43.665576127,"{u'type': u'Point', u'coordinates': (-79.4729604342, 43.665576129)}"
4308916,39,LR-07847,3109,Dundas St W,Dundas St W,South,Clendenan Ave,East,04920,4,,WR2,Existing,L1304920,0,306964.61199999996,4836167.187,-79.473159565,43.665446765,"{u'type': u'Point', u'coordinates': (-79.4731595687, 43.6654467637)}"
4308917,40,LR-07849,3,Humber Hill Ave,Dundas St W,South,Humber Hill Ave,West,04914,4,,WR2,Existing,L1304914,0,304665.262,4836082.2469999995,-79.50167067699999,43.664685327,"{u'type': u'Point', u'coordinates': (-79.5016706829, 43.6646853289)}"
4308918,41,LR-07854,2947,Dundas St W,Dundas St W,South,Medland St,West,04928,4,Junction Gardens,WR4,Existing,L1304928,0,307423.397,4836159.06,-79.467470838,43.665372131999995,"{u'type': u'Point', u'coordinates': (-79.4674708355, 43.6653721326)}"
4308919,42,LR-07857,2925,Dundas St W,Dundas St W,South,Medland St,East,04974,4,Junction Gardens,WR4,Existing,L1304974,0,307465.165,4836158.637,-79.466952929,43.665368173999994,"{u'type': u'Point', u'coordinates': (-79.4669529298, 43.6653681765)}"
4308920,43,LR-07863,3350,Dundas St W,Dundas St W,North,Runnymede Rd,East,04917,4,,WR2,Existing,L1304917,0,306278.781,4836189.134,-79.48166357699999,43.665645997,"{u'type': u'Point', u'coordinates': (-79.4816635724, 43.6656459965)}"
4308921,44,LR-07864,3347,Dundas St W,Dundas St W,South,Runnymede Rd,East,04918,4,,WR2,Existing,L1304918,0,306267.01300000004,4836174.539,-79.481809528,43.665514645,"{u'type': u'Point', u'coordinates': (-79.4818095316, 43.6655146453)}"
4308922,45,LR-07867,3486,Dundas St W,Dundas St W,North,Willard Ave,West,04916,4,,WR2,Existing,L1304916,0,305713.468,4836196.406,-79.488673267,43.665712363000004,"{u'type': u'Point', u'coordinates': (-79.4886732665, 43.6657123637)}"
4308923,46,LR-07868,3434,Dundas St W,Dundas St W,North,Windermere Ave,East,2433,4,,WR1,Existing,L1302433,0,305964.19800000003,4836195.369,-79.485564288,43.665702675,"{u'type': u'Point', u'coordinates': (-79.4855642908, 43.6657026789)}"
4308924,166,LR-07817,532,Annette St,Annette St,North,Runnymede Rd,West,00954,4,,WR1,Existing,L1300954,0,306395.316,4835571.026000001,-79.48022039899999,43.660081952,"{u'type': u'Point', u'coordinates': (-79.4802204012, 43.6600819546)}"
4308925,167,LR-07821,2394,Bloor St W,Bloor St W,North,Armadale Ave,East,03373,4,Bloor West Village,WR4,Existing,L1303373,0,306199.452,4834430.449,-79.48265178,43.649815608000004,"{u'type': u'Point', u'coordinates': (-79.4826517857, 43.649815612)}"
4308926,168,LR-07822,1873,Bloor St W,Bloor St W,South,Colborne Lodge Dr,East,00977,4,,WR2,Existing,L1300977,0,307651.963,4834851.311000001,-79.464643614,43.65359979,"{u'type': u'Point', u'coordinates': (-79.4646436093, 43.6535997908)}"
4308927,206,LR-10607,708,Danforth Rd,Danforth Rd,North,Hart Ave,East,06446,20,,WR2,Existing,L3506446,0,324241.826,4842146.117,-79.258713533,43.719013358999995,"{u'type': u'Point', u'coordinates': (-79.2587135336, 43.7190133579)}"
4308928,207,LR-10609,2501,Eglinton Ave E,Eglinton Ave E,South,Midland Ave,West,06451,20,,WR1,Existing,L3506451,0,324249.412,4843841.467,-79.258558099,43.734273273999996,"{u'type': u'Point', u'coordinates': (-79.2585581012, 43.7342732769)}"
4308929,208,LR-10685,,,Ellesmere Rd,North,Borough Approach W,East,T7710,21,,WR2,Existing,L3807710,0,324328.23699999996,4847934.86,-79.257430813,43.771116317,"{u'type': u'Point', u'coordinates': (-79.2574308162, 43.7711163224)}"
4308930,209,LR-06879,2683,Lawrence Ave E,Lawrence Ave E,South,Brockley Dr,East,06893,21,,WR2,Existing,L3706893,0,324004.38300000003,4845822.8719999995,-79.261529038,43.752114553,"{u'type': u'Point', u'coordinates': (-79.2615290415, 43.7521145584)}"
4308931,210,LR-06881,3271,Lawrence Ave E,Lawrence Ave E,South,Ben Stanton Blvd,West,06895,21,,WR2,Existing,L3806895,0,325880.043,4846365.476,-79.238216921,43.756947626000006,"{u'type': u'Point', u'coordinates': (-79.2382169209, 43.7569476256)}"
4308932,211,LR-11641,4562,Sheppard Ave E,Sheppard Ave E,North,Brownspring Rd,West,05849,23,Sheppard East Village,WR2,Existing,L4105849,0,323937.00899999996,4849926.623,-79.262219363,43.789054543999995,"{u'type': u'Point', u'coordinates': (-79.262219357, 43.789054548)}"
4308933,458,LR-06115,2770,Jane St,Jane St,West,Frith Rd,North,06513,7,,WR2,Existing,L0706513,0,303577.94899999996,4845183.359,-79.515173458,43.746605933999994,"{u'type': u'Point', u'coordinates': (-79.5151734625, 43.7466059362)}"
4308934,459,LR-05985,2821,Weston Rd,Weston Rd,East,Lilac Ave,South,06222,7,,WR2,Existing,L0706222,0,301786.68100000004,4842234.633,-79.537398025,43.720058658,"{u'type': u'Point', u'coordinates': (-79.5373980218, 43.720058664)}"
4308935,460,LR-06426,350,Grandravine Dr,Grandravine Dr,North,Jane St,East,06189,7,,WR1,Existing,L0806189,0,303750.251,4845291.143999999,-79.513034303,43.747576395,"{u'type': u'Point', u'coordinates': (-79.5130343042, 43.7475763954)}"
4308936,461,LR-06428,51,John Drury Dr,Sheppard Ave W,West,John Drury Dr,North,06191,6,,WR2,Existing,L0806191,0,306172.722,4845400.991,-79.482955188,43.748564624,"{u'type': u'Point', u'coordinates': (-79.4829551917, 43.7485646233)}"
4308937,462,LR-06425,151,Sentinel Rd,Sentinel Rd,South,Grandravine Dr,East,06188,6,,WR1,Existing,L0806188,0,305184.285,4845735.039,-79.495228173,43.751572628000005,"{u'type': u'Point', u'coordinates': (-79.4952281728, 43.7515726287)}"
4308938,463,LR-06436,1901,Sheppard Ave W,Sheppard Ave W,South,Sheppard Ave W,Opposite,06237,6,,WR2,Existing,L0906237,0,303987.766,4844391.41,-79.510083822,43.73947799,"{u'type': u'Point', u'coordinates': (-79.5100838181, 43.7394779955)}"
4308939,464,LR-06516,2195,Jane St,Jane St,East,Wilson Ave,North,06682,6,,WR1,Existing,L0906682,0,304117.818,4842366.296,-79.508466666,43.72124959600001,"{u'type': u'Point', u'coordinates': (-79.5084666651, 43.7212496)}"
4308940,465,LR-06432,1505,Wilson Ave,Wilson Ave,South,Epic Lane Rd,East,06233,6,,WR1,Existing,L0906233,0,304327.314,4842363.82,-79.50586657,43.721227476,"{u'type': u'Point', u'coordinates': (-79.505866576, 43.7212274759)}"
4308941,466,LR-06435,1908,Sheppard Ave W,Sheppard Ave W,North,Magellan Dr,East,06236,7,,WR2,Existing,L0906236,0,304039.459,4844431.839,-79.50944210899999,43.739841958,"{u'type': u'Point', u'coordinates': (-79.509442111, 43.7398419606)}"
4308942,467,LR-06464,201,Codsell Ave,Wilmington Ave,East,Codsell Ave,South,06294,6,,WR1,Existing,L1006294,0,308546.877,4846100.845,-79.45347091800001,43.754855946000006,"{u'type': u'Point', u'coordinates': (-79.4534709212, 43.7548559501)}"
4308943,468,LR-06438,1651,Sheppard Ave W,Sheppard Ave W,South,Seeley Dr,West,06239,6,,WR2,Existing,L0906239,0,305065.661,4844721.973999999,-79.496701683,43.742453866999995,"{u'type': u'Point', u'coordinates': (-79.4967016772, 43.7424538714)}"
4308944,469,LR-06477,2,Faith Ave,Faywood Blvd,West,Faith Ave,North,06348,6,,WR1,Existing,L1006348,0,309022.187,4844387.548,-79.447581939,43.739431652,"{u'type': u'Point', u'coordinates': (-79.4475819375, 43.7394316582)}"
4308945,470,LR-06496,135,Antibes Dr,Antibes Dr,South,Bathurst St,West,06461,6,,WR1,Temporarily Removed,L1006461,0,309211.222,4848997.214,-79.445197221,43.780923002,"{u'type': u'Point', u'coordinates': (-79.4451972271, 43.7809230078)}"
4308946,489,LR-06497,135,Antibes Dr,Bathurst St,West,Antibes Dr,South,06462,6,,WR2,Existing,L1006462,0,309234.192,4848974.767,-79.444912046,43.780720821,"{u'type': u'Point', u'coordinates': (-79.4449120451, 43.7807208218)}"
4308947,490,LR-06737,443,Bloor St E,Glen Rd,West,Bloor St E,South,06487,13,,WR2,Existing,L2806487,0,314880.674,4836918.754,-79.374989271,43.672146665,"{u'type': u'Point', u'coordinates': (-79.3749892701, 43.6721466633)}"
4308948,491,LR-08888,1180,Bloor St W,Bay St,West,Bloor St W,South,06067,11,Bloor Street,WR2,Existing,L2706067,0,313710.499,4836625.384,-79.389505466,43.669520899,"{u'type': u'Point', u'coordinates': (-79.3895054605, 43.6695208968)}"
4308949,492,LR-06539,10,Edengarth Crt,Flemington Rd,East,Stockton Rd,North,06737,8,,WR1,Existing,L1506737,0,308896.17100000003,4842346.1110000005,-79.449161962,43.721056911999995,"{u'type': u'Point', u'coordinates': (-79.4491619589, 43.7210569179)}"
4308950,493,LR-06543,33,Ameer Ave,Ameer Ave,East,Sultana Ave,South,06741,8,,WR1,Existing,L1506741,0,309622.86,4842990.81,-79.440137172,43.72685564100001,"{u'type': u'Point', u'coordinates': (-79.4401371659, 43.7268556412)}"
4308951,494,LR-06738,464,Sherbourne St,Wellesley St E,West,Sherbourne St,South,06491,13,,WR2,Temporarily Removed,L2706491,0,314875.55100000004,4836317.704,-79.375064028,43.66673649,"{u'type': u'Point', u'coordinates': (-79.3750640231, 43.6667364956)}"
4308952,495,LR-06410,622,Dundas St W,Dundas St W,North,Denison Ave,East,06080,10,,WR1,Existing,L2006080,0,312699.69800000003,4834694.954,-79.402068115,43.652155881999995,"{u'type': u'Point', u'coordinates': (-79.4020681153, 43.6521558849)}"
4308953,496,LR-11801,5667,Yonge St,Yonge St,East,Bishop Ave,South,07366,18,,WR2,Existing,L2407366,0,311578.038,4849058.356000001,-79.41579236300001,43.781455468000004,"{u'type': u'Point', u'coordinates': (-79.4157923653, 43.7814554745)}"
4308954,497,LR-06726,381,Birchmount Rd,Birchmount Rd,East,Raleigh Ave,South,06391,20,,WR2,Existing,L3506391,0,323676.972,4840218.541,-79.26579127699999,43.701677456000006,"{u'type': u'Point', u'coordinates': (-79.2657912755, 43.7016774609)}"
4308955,498,LR-09962,38,Orfus Rd,Orfus Rd,North,Dufferin St,West,06984,8,,WR1,Existing,L1506984,0,308075.755,4842200.443,-79.459345117,43.719749793999995,"{u'type': u'Point', u'coordinates': (-79.4593451183, 43.7197497992)}"
